date,value
29/2/2020,8.917237052
31/3/2020,8.89246627
30/4/2020,8.86127381
31/5/2020,8.868908367
30/6/2020,8.849196429
31/7/2020,8.855928571
31/8/2020,8.890021825
30/9/2020,8.982769841
31/10/2020,9.093488048
30/11/2020,9.278960317
31/12/2020,9.534424901
31/1/2021,9.876501992
28/2/2021,10.25155179
31/3/2021,10.74819522
30/4/2021,11.26545418
31/5/2021,11.83486653
30/6/2021,12.3533008
31/7/2021,12.78549801
31/8/2021,13.16683466
30/9/2021,13.40037897
31/10/2021,13.54639286
30/11/2021,13.62744444
31/12/2021,13.68899412
31/1/2022,13.71630784
28/2/2022,13.87696094
31/3/2022,14.10976367
30/4/2022,14.2875428
31/5/2022,14.37055837
30/6/2022,14.56954047
31/7/2022,14.69242326
31/8/2022,14.90229922
30/9/2022,15.05893682
31/10/2022,15.18084767
30/11/2022,15.33994672
31/12/2022,15.54269012
31/1/2023,15.67803468
28/2/2023,15.64951089
31/3/2023,15.51626369
30/4/2023,15.34891006
31/5/2023,15.14829708
30/6/2023,14.81915391
31/7/2023,14.64691489
31/8/2023,14.31887324
30/9/2023,14.1866
31/10/2023,14.46107143
30/11/2023,14.62833333
